date,model,portfolio_return
2023-07-31,ledoit_wolf,-0.0013542404817200931
2023-07-03,equal_weight,0.001874980792937651
2023-07-05,equal_weight,-0.0012052789520927863
2023-07-06,equal_weight,-0.012190310890976972
2023-07-07,equal_weight,-0.002352428880093408
2023-07-10,equal_weight,0.0006623254056501069
2023-07-11,equal_weight,0.008003405503630644
2023-07-12,equal_weight,0.011440948603217854
2023-07-13,equal_weight,0.007326354354522079
2023-07-14,equal_weight,-0.00012753250756989396
2023-07-17,equal_weight,-0.0009853008866790832
2023-07-18,equal_weight,0.00452100859645683
2023-07-19,equal_weight,0.0057313372210841835
2023-07-20,equal_weight,-0.0018428596385555427
2023-07-21,equal_weight,0.0038247501531330557
2023-07-24,equal_weight,0.006843388827587186
2023-07-25,equal_weight,0.001875438399604018
2023-07-26,equal_weight,0.007142681428933949
2023-07-27,equal_weight,-0.006277976496975625
2023-07-28,equal_weight,0.005870304378746529
2023-07-31,equal_weight,0.0033420006889050653
2023-08-01,sample,-0.0052675608713939805
2023-08-02,sample,-0.0031515662979261145
2023-08-03,sample,-0.00447062293016065
2023-08-04,sample,-0.006762286169570923
2023-08-07,sample,0.008993347015780015
2023-08-08,sample,0.0006377073087224796
2023-08-09,sample,0.00047400522128985016
2023-08-10,sample,-0.00027910461369637526
2023-08-11,sample,0.00851410170973984
2023-08-14,sample,-0.003488042613356162
2023-08-15,sample,-0.01241163253583738
2023-08-16,sample,-0.0030017405098067334
2023-08-17,sample,0.0006153299000959974
2023-08-18,sample,0.0019857021890586387
2023-08-21,sample,-0.009839514895314188
2023-08-22,sample,-0.0048945290184936995
2023-08-23,sample,0.0026541163808526357
2023-08-24,sample,-0.0033882593620767334
2023-08-25,sample,0.0054851872059468315
2023-08-28,sample,0.000968211139343352
2023-08-29,sample,0.0027894195813909584
2023-08-30,sample,-1.2952131877977052e-05
2023-08-31,sample,-0.008768857445149743
2023-08-01,ewma,-0.0021694281353371535
2023-08-02,ewma,-0.007752154936514795
2023-08-03,ewma,-0.007348058225713841
2023-08-04,ewma,-0.010468941712382971
2023-08-07,ewma,0.005699886203908283
2023-08-08,ewma,-0.000559506420331906
2023-08-09,ewma,-0.001261947344565037
2023-08-10,ewma,0.0004936123329863185
2023-08-11,ewma,0.005845546059796162
2023-08-14,ewma,0.002342241196848608
2023-08-15,ewma,-0.013271319309178995
2023-08-16,ewma,-0.008359248131653955
2023-08-17,ewma,-0.003639658996987364
2023-08-18,ewma,0.00248355659277994
2023-08-21,ewma,-0.004206909422928171
2023-08-22,ewma,-0.003375482514624468
2023-08-23,ewma,0.005814090580725342
2023-08-24,ewma,-0.008739672870101476
2023-08-25,ewma,0.007084741744441087
2023-08-28,ewma,0.0038239300949758004
2023-08-29,ewma,0.009418059083352364
2023-08-30,ewma,0.0030316903646987973
2023-08-31,ewma,-0.006345510286116516
2023-08-01,ledoit_wolf,-0.005250556846569117
2023-08-02,ledoit_wolf,-0.0031812431482043
2023-08-03,ledoit_wolf,-0.004453818984016287
2023-08-04,ledoit_wolf,-0.006700851124867572
2023-08-07,ledoit_wolf,0.008957032799798391
2023-08-08,ledoit_wolf,0.0006874843919427594
2023-08-09,ledoit_wolf,0.000574267896231777
2023-08-10,ledoit_wolf,-0.0002924829442857731
2023-08-11,ledoit_wolf,0.008453662872297311
2023-08-14,ledoit_wolf,-0.0034721649190706623
2023-08-15,ledoit_wolf,-0.012404085131191555
2023-08-16,ledoit_wolf,-0.0030887760296371735
2023-08-17,ledoit_wolf,0.0006545216248665056
2023-08-18,ledoit_wolf,0.0019884561416875835
2023-08-21,ledoit_wolf,-0.009858569132690658
2023-08-22,ledoit_wolf,-0.004817621713095268
2023-08-23,ledoit_wolf,0.002659157404304832
2023-08-24,ledoit_wolf,-0.0034111640681697953
2023-08-25,ledoit_wolf,0.005573289969150539
2023-08-28,ledoit_wolf,0.0009697998482265371
2023-08-29,ledoit_wolf,0.002869706280643844
2023-08-30,ledoit_wolf,6.595078959030693e-05
2023-08-31,ledoit_wolf,-0.00866779663313336
2023-08-01,equal_weight,-0.0013767535140470203
2023-08-02,equal_weight,-0.010063460333862934
2023-08-03,equal_weight,-0.006024998058125089
2023-08-04,equal_weight,-0.0034795080107380264
2023-08-07,equal_weight,0.008195293685215143
2023-08-08,equal_weight,-0.00356576373164431
2023-08-09,equal_weight,-0.0023975662571386717
2023-08-10,equal_weight,0.0002408812343519471
2023-08-11,equal_weight,0.005301002989278649
2023-08-14,equal_weight,0.0005368905163442227
2023-08-15,equal_weight,-0.014966673831249791
2023-08-16,equal_weight,-0.008325007973365307
2023-08-17,equal_weight,-0.0035126037431806602
2023-08-18,equal_weight,0.0004060795801110301
2023-08-21,equal_weight,-0.002722175817194504
2023-08-22,equal_weight,-0.003179405097488692
2023-08-23,equal_weight,0.007635031555112877
2023-08-24,equal_weight,-0.008864847245971828
2023-08-25,equal_weight,0.005200327401490159
2023-08-28,equal_weight,0.005033037671292213
2023-08-29,equal_weight,0.009609737512814347
2023-08-30,equal_weight,0.002445054165438622
2023-08-31,equal_weight,-0.0041786461180312595
2023-09-01,sample,-0.0005077816831125894
2023-09-05,sample,-0.0051405016459836715
2023-09-06,sample,-0.002406047838696979
2023-09-07,sample,0.005408754224570101
2023-09-08,sample,0.004898632310113724
2023-09-11,sample,0.004033723621932733
2023-09-12,sample,0.0010484582198667983
2023-09-13,sample,0.00451564042080493
2023-09-14,sample,0.009203867139543605
2023-09-15,sample,-0.006147289367114917
2023-09-18,sample,0.0018422933379094355
2023-09-19,sample,-0.004630931551656707
2023-09-20,sample,0.003010958731868649
2023-09-21,sample,-0.008234533076051417
2023-09-22,sample,-0.0005044255165648033
2023-09-25,sample,0.0005381269355772228
2023-09-26,sample,-0.012066810608597446
2023-09-27,sample,-0.006910665232036825
2023-09-28,sample,-0.001898796260659536
2023-09-29,sample,-0.005834472819061046
2023-09-01,ewma,0.000933676069617732
2023-09-05,ewma,-0.004333728620343733
2023-09-06,ewma,-0.005268300264728866
2023-09-07,ewma,0.00484239572669102
2023-09-08,ewma,0.0028952648012225577
2023-09-11,ewma,0.005673124730584565
2023-09-12,ewma,-0.0037935415340900327
2023-09-13,ewma,0.0036769905597998547
2023-09-14,ewma,0.008181445270888623
2023-09-15,ewma,-0.012131827404410794
2023-09-18,ewma,-0.00016650266909977788
2023-09-19,ewma,-0.004773088634166614
2023-09-20,ewma,-0.0025696203273017403
2023-09-21,ewma,-0.01299153780911351
2023-09-22,ewma,-0.0024183941814166793
2023-09-25,ewma,0.0003931251406969197
2023-09-26,ewma,-0.013129590062710621
2023-09-27,ewma,-0.008108848078604505
2023-09-28,ewma,-0.00026545275586512186
2023-09-29,ewma,-0.0021026355521543898
2023-09-01,ledoit_wolf,-0.0004517454393493742
2023-09-05,ledoit_wolf,-0.005304434688099693
2023-09-06,ledoit_wolf,-0.0023410465955444304
2023-09-07,ledoit_wolf,0.005405964187149795
2023-09-08,ledoit_wolf,0.005022752575724835
2023-09-11,ledoit_wolf,0.0041557250921918035
2023-09-12,ledoit_wolf,0.001059985831116823
2023-09-13,ledoit_wolf,0.004517732310793262
2023-09-14,ledoit_wolf,0.009318278741602666
2023-09-15,ledoit_wolf,-0.006286042809504743
2023-09-18,ledoit_wolf,0.0018626965474674328
2023-09-19,ledoit_wolf,-0.004629504165177882
2023-09-20,ledoit_wolf,0.0028138930773971517
2023-09-21,ledoit_wolf,-0.008347724394309381
2023-09-22,ledoit_wolf,-0.0006036761726831699
2023-09-25,ledoit_wolf,0.0005243709096494128
2023-09-26,ledoit_wolf,-0.012029626224316367
2023-09-27,ledoit_wolf,-0.006790703372189366
2023-09-28,ledoit_wolf,-0.001957676183717586
2023-09-29,ledoit_wolf,-0.005883473661525572
2023-09-01,equal_weight,0.00342633272260301
2023-09-05,equal_weight,-0.005888369091427843
2023-09-06,equal_weight,-0.0054725435922137805
2023-09-07,equal_weight,0.0021804745999735127
2023-09-08,equal_weight,0.004496281830577717
2023-09-11,equal_weight,0.005644355361485241
2023-09-12,equal_weight,-0.0010876260764648871
2023-09-13,equal_weight,0.0019046138272585554
2023-09-14,equal_weight,0.012432463495586877
2023-09-15,equal_weight,-0.010128965498949427
2023-09-18,equal_weight,0.0010035783922773443
2023-09-19,equal_weight,-0.004477510218185042
2023-09-20,equal_weight,-0.004865908085467611
2023-09-21,equal_weight,-0.01586193241432779
2023-09-22,equal_weight,-0.0011459125599276318
2023-09-25,equal_weight,0.002373773923633331
2023-09-26,equal_weight,-0.015455763024039148
2023-09-27,equal_weight,-0.006725651940858982
2023-09-28,equal_weight,0.0019518699581047363
2023-09-29,equal_weight,-0.004403544357987017
2023-10-02,sample,-0.009789768612568651
2023-10-03,sample,-0.003352030379873691
2023-10-04,sample,-0.0006139470901254541
2023-10-05,sample,-0.0063502977523886995
2023-10-06,sample,0.009461574655918362
2023-10-09,sample,0.006762205857561938
2023-10-10,sample,0.0069185688450744505
2023-10-11,sample,-0.004923888813612207
2023-10-12,sample,-0.006831077572411995
2023-10-13,sample,0.009117047752068261
2023-10-16,sample,0.007553042171655825
2023-10-17,sample,0.0018204291360201185
2023-10-18,sample,-0.004570287492686612
2023-10-19,sample,-0.0022642326050889908
2023-10-20,sample,-0.005131991578977548
2023-10-23,sample,-0.011480081258528872
2023-10-24,sample,0.005317463394036606
2023-10-25,sample,0.00039969493766229994
2023-10-26,sample,-0.003919154374436684
2023-10-27,sample,-0.01754667316279324
2023-10-30,sample,0.010874124560485211
