rebalance_date,model,sector,sector_weight
2025-04-30,equal_weight,Materials,0.0909090909090908
2025-04-30,equal_weight,Real Estate,0.0909090909090908
2025-04-30,equal_weight,Utilities,0.0909090909090908
2025-04-30,ewma,Communication Services,0.0679524589345054
2025-04-30,ewma,Consumer Discretionary,0.15000000000000005
2025-04-30,ewma,Consumer Staples,0.2499999999999999
2025-04-30,ewma,Energy,0.004325155672409
2025-04-30,ewma,Financials,0.0500522471874315
2025-04-30,ewma,Health Care,0.2378336619577168
2025-04-30,ewma,Industrials,0.018036093576774
2025-04-30,ewma,Information Technology,5.271858402477353e-18
2025-04-30,ewma,Materials,0.0055580465868449004
2025-04-30,ewma,Real Estate,0.0662423360843182
2025-04-30,ewma,Utilities,0.15
2025-04-30,ledoit_wolf,Communication Services,0.0632629206066328
2025-04-30,ledoit_wolf,Consumer Discretionary,0.0590318150521222
2025-04-30,ledoit_wolf,Consumer Staples,0.2499999999999999
2025-04-30,ledoit_wolf,Energy,0.1103962887405361
2025-04-30,ledoit_wolf,Financials,0.0107620619835723
2025-04-30,ledoit_wolf,Health Care,0.2257700804937594
2025-04-30,ledoit_wolf,Industrials,0.0071405246703184
2025-04-30,ledoit_wolf,Information Technology,0.128770056188726
2025-04-30,ledoit_wolf,Materials,1.5005552382131541e-18
2025-04-30,ledoit_wolf,Real Estate,0.00901043199364181
2025-04-30,ledoit_wolf,Utilities,0.1358558202706904
2025-04-30,sample,Communication Services,0.0618255892527677
2025-04-30,sample,Consumer Discretionary,0.04923116294330861
2025-04-30,sample,Consumer Staples,0.25
2025-04-30,sample,Energy,0.1149638669151459
2025-04-30,sample,Financials,0.0020211598704556024
2025-04-30,sample,Health Care,0.2250511492005472
2025-04-30,sample,Industrials,5.4025352887181226e-18
2025-04-30,sample,Information Technology,0.1469070718177746
2025-04-30,sample,Materials,3.099117615683846e-18
2025-04-30,sample,Real Estate,2.5615062102053836e-19
2025-04-30,sample,Utilities,0.15
2025-05-30,equal_weight,Communication Services,0.0909090909090908
2025-05-30,equal_weight,Consumer Discretionary,0.0909090909090908
2025-05-30,equal_weight,Consumer Staples,0.0909090909090908
2025-05-30,equal_weight,Energy,0.0909090909090908
2025-05-30,equal_weight,Financials,0.0909090909090908
2025-05-30,equal_weight,Health Care,0.0909090909090908
2025-05-30,equal_weight,Industrials,0.0909090909090908
2025-05-30,equal_weight,Information Technology,0.0909090909090908
2025-05-30,equal_weight,Materials,0.0909090909090908
2025-05-30,equal_weight,Real Estate,0.0909090909090908
2025-05-30,equal_weight,Utilities,0.0909090909090908
2025-05-30,ewma,Communication Services,0.11788371752023091
2025-05-30,ewma,Consumer Discretionary,0.1108691206881169
2025-05-30,ewma,Consumer Staples,0.2499999999999999
2025-05-30,ewma,Energy,2.8591739004002316e-17
2025-05-30,ewma,Financials,0.08830146845407522
2025-05-30,ewma,Health Care,0.1555409585796877
2025-05-30,ewma,Industrials,1.4340480948509527e-17
2025-05-30,ewma,Information Technology,0.0011569248725013
2025-05-30,ewma,Materials,0.0755159502098326
2025-05-30,ewma,Real Estate,0.050731859675555
2025-05-30,ewma,Utilities,0.15
2025-05-30,ledoit_wolf,Communication Services,0.07612459783670379
2025-05-30,ledoit_wolf,Consumer Discretionary,0.0528280987288334
2025-05-30,ledoit_wolf,Consumer Staples,0.2499999999999999
2025-05-30,ledoit_wolf,Energy,0.1222875420374644
2025-05-30,ledoit_wolf,Financials,0.0196091998386694
2025-05-30,ledoit_wolf,Health Care,0.2097771924026703
2025-05-30,ledoit_wolf,Industrials,2.4612522605533796e-18
2025-05-30,ledoit_wolf,Information Technology,0.1214106490681141
2025-05-30,ledoit_wolf,Materials,0.0
2025-05-30,ledoit_wolf,Real Estate,0.018586052232112404
2025-05-30,ledoit_wolf,Utilities,0.1293766678554315
2025-05-30,sample,Communication Services,0.0719267363546429
2025-05-30,sample,Consumer Discretionary,0.045263911659834
2025-05-30,sample,Consumer Staples,0.25
2025-05-30,sample,Energy,0.1249645365085615
2025-05-30,sample,Financials,0.0086947734238148
2025-05-30,sample,Health Care,0.2073684690499038
2025-05-30,sample,Industrials,5.797921532534501e-18
2025-05-30,sample,Information Technology,0.1403982531019508
2025-05-30,sample,Materials,0.0
2025-05-30,sample,Real Estate,0.0050366976319506
2025-05-30,sample,Utilities,0.1463466222693412
2025-06-30,equal_weight,Communication Services,0.0909090909090908
2025-06-30,equal_weight,Consumer Discretionary,0.0909090909090908
2025-06-30,equal_weight,Consumer Staples,0.0909090909090908
2025-06-30,equal_weight,Energy,0.0909090909090908
2025-06-30,equal_weight,Financials,0.0909090909090908
2025-06-30,equal_weight,Health Care,0.0909090909090908
2025-06-30,equal_weight,Industrials,0.0909090909090908
2025-06-30,equal_weight,Information Technology,0.0909090909090908
2025-06-30,equal_weight,Materials,0.0909090909090908
2025-06-30,equal_weight,Real Estate,0.0909090909090908
2025-06-30,equal_weight,Utilities,0.0909090909090908
2025-06-30,ewma,Communication Services,0.0887555004950561
2025-06-30,ewma,Consumer Discretionary,5.703436204463366e-18
2025-06-30,ewma,Consumer Staples,0.1983670707672375
2025-06-30,ewma,Energy,0.15582996188571469
2025-06-30,ewma,Financials,0.1283975581676739
2025-06-30,ewma,Health Care,0.12228637197728791
2025-06-30,ewma,Industrials,1.8462293111152162e-18
2025-06-30,ewma,Information Technology,0.0705072998124365
2025-06-30,ewma,Materials,0.0485252393749991
2025-06-30,ewma,Real Estate,0.1433607836909315
2025-06-30,ewma,Utilities,0.0439702138286623
2025-06-30,ledoit_wolf,Communication Services,0.0691849880219769
2025-06-30,ledoit_wolf,Consumer Discretionary,0.0478271968232688
2025-06-30,ledoit_wolf,Consumer Staples,0.2499999999999999
2025-06-30,ledoit_wolf,Energy,0.1273067702564674
2025-06-30,ledoit_wolf,Financials,0.0183785883889749
2025-06-30,ledoit_wolf,Health Care,0.2069211871626638
2025-06-30,ledoit_wolf,Industrials,0.0
2025-06-30,ledoit_wolf,Information Technology,0.1332403723642262
2025-06-30,ledoit_wolf,Materials,0.0014341004604551018
2025-06-30,ledoit_wolf,Real Estate,0.0220476138334836
2025-06-30,ledoit_wolf,Utilities,0.1236591826884825
2025-06-30,sample,Communication Services,0.0644126261958954
2025-06-30,sample,Consumer Discretionary,0.0421294525557114
2025-06-30,sample,Consumer Staples,0.2499999999999999
2025-06-30,sample,Energy,0.1301815965056884
2025-06-30,sample,Financials,0.008734337349828003
2025-06-30,sample,Health Care,0.20560382362517649
2025-06-30,sample,Industrials,6.54540571481131e-18
2025-06-30,sample,Information Technology,0.15
2025-06-30,sample,Materials,9.691651935691627e-18
2025-06-30,sample,Real Estate,0.009340622907178802
2025-06-30,sample,Utilities,0.13959754086052142
2025-07-31,equal_weight,Communication Services,0.0909090909090908
2025-07-31,equal_weight,Consumer Discretionary,0.0909090909090908
2025-07-31,equal_weight,Consumer Staples,0.0909090909090908
2025-07-31,equal_weight,Energy,0.0909090909090908
2025-07-31,equal_weight,Financials,0.0909090909090908
2025-07-31,equal_weight,Health Care,0.0909090909090908
2025-07-31,equal_weight,Industrials,0.0909090909090908
2025-07-31,equal_weight,Information Technology,0.0909090909090908
2025-07-31,equal_weight,Materials,0.0909090909090908
2025-07-31,equal_weight,Real Estate,0.0909090909090908
2025-07-31,equal_weight,Utilities,0.0909090909090908
2025-07-31,ewma,Communication Services,0.0491721710283372
2025-07-31,ewma,Consumer Discretionary,0.0630882619324024
2025-07-31,ewma,Consumer Staples,0.1428407037664819
2025-07-31,ewma,Energy,0.1613383162889763
2025-07-31,ewma,Financials,0.0713243307589771
2025-07-31,ewma,Health Care,0.0420035945776506
2025-07-31,ewma,Industrials,0.11723817699307021
2025-07-31,ewma,Information Technology,0.15
2025-07-31,ewma,Materials,1.6695878174305434e-18
2025-07-31,ewma,Real Estate,0.0529944446541039
2025-07-31,ewma,Utilities,0.15
2025-07-31,ledoit_wolf,Communication Services,0.0669383570968136
2025-07-31,ledoit_wolf,Consumer Discretionary,0.0445223618420019
2025-07-31,ledoit_wolf,Consumer Staples,0.24999999999999992
2025-07-31,ledoit_wolf,Energy,0.12661128377259231
2025-07-31,ledoit_wolf,Financials,0.0143688029773833
2025-07-31,ledoit_wolf,Health Care,0.19684776533046622
2025-07-31,ledoit_wolf,Industrials,0.005132895610092905
2025-07-31,ledoit_wolf,Information Technology,0.1424980560052169
2025-07-31,ledoit_wolf,Materials,1.4681180071480901e-18
2025-07-31,ledoit_wolf,Real Estate,0.014672561233743706
2025-07-31,ledoit_wolf,Utilities,0.1384079161316885
2025-07-31,sample,Communication Services,0.0652922221608877
2025-07-31,sample,Consumer Discretionary,0.043921593682246296
2025-07-31,sample,Consumer Staples,0.24999999999999992
2025-07-31,sample,Energy,0.1284966370665653
2025-07-31,sample,Financials,0.007341070479140302
2025-07-31,sample,Health Care,0.20403822000854338
2025-07-31,sample,Industrials,0.0
2025-07-31,sample,Information Technology,0.15
2025-07-31,sample,Materials,2.5765326978305024e-18
2025-07-31,sample,Real Estate,0.0009102566026167025
2025-07-31,sample,Utilities,0.15
2025-08-29,equal_weight,Communication Services,0.0909090909090908
2025-08-29,equal_weight,Consumer Discretionary,0.0909090909090908
2025-08-29,equal_weight,Consumer Staples,0.0909090909090908
2025-08-29,equal_weight,Energy,0.0909090909090908
2025-08-29,equal_weight,Financials,0.0909090909090908
2025-08-29,equal_weight,Health Care,0.0909090909090908
2025-08-29,equal_weight,Industrials,0.0909090909090908
2025-08-29,equal_weight,Information Technology,0.0909090909090908
2025-08-29,equal_weight,Materials,0.0909090909090908
2025-08-29,equal_weight,Real Estate,0.0909090909090908
2025-08-29,equal_weight,Utilities,0.0909090909090908
2025-08-29,ewma,Communication Services,0.007043749246794104
2025-08-29,ewma,Consumer Discretionary,0.021196141610412104
2025-08-29,ewma,Consumer Staples,0.1284257603915756
2025-08-29,ewma,Energy,0.1932396072701303
2025-08-29,ewma,Financials,0.15
2025-08-29,ewma,Health Care,0.08259017753102599
2025-08-29,ewma,Industrials,2.496417853795237e-18
2025-08-29,ewma,Information Technology,0.17372073824812428
2025-08-29,ewma,Materials,0.0009366252402975
2025-08-29,ewma,Real Estate,0.0577765841065256
2025-08-29,ewma,Utilities,0.185070616355114
2025-08-29,ledoit_wolf,Communication Services,0.0686960353025905
2025-08-29,ledoit_wolf,Consumer Discretionary,0.035643397812499304
2025-08-29,ledoit_wolf,Consumer Staples,0.2499999999999999
2025-08-29,ledoit_wolf,Energy,0.1300967795539422
2025-08-29,ledoit_wolf,Financials,0.017307507837720712
2025-08-29,ledoit_wolf,Health Care,0.19506951087752078
2025-08-29,ledoit_wolf,Industrials,0.004285500278783406
2025-08-29,ledoit_wolf,Information Technology,0.1428327291838898
2025-08-29,ledoit_wolf,Materials,4.5901934702377014e-18
2025-08-29,ledoit_wolf,Real Estate,0.0157045998724247
2025-08-29,ledoit_wolf,Utilities,0.1403639392806278
2025-08-29,sample,Communication Services,0.067573489532155
2025-08-29,sample,Consumer Discretionary,0.033739159851065396
2025-08-29,sample,Consumer Staples,0.2499999999999999
2025-08-29,sample,Energy,0.1330891843266596
2025-08-29,sample,Financials,0.0114271362975882
2025-08-29,sample,Health Care,0.1989220063644374
2025-08-29,sample,Industrials,9.11551740937008e-18
2025-08-29,sample,Information Technology,0.15
2025-08-29,sample,Materials,1.3517491970383665e-18
2025-08-29,sample,Real Estate,0.005249023628094102
2025-08-29,sample,Utilities,0.15
2025-09-30,equal_weight,Communication Services,0.0909090909090908
2025-09-30,equal_weight,Consumer Discretionary,0.0909090909090908
2025-09-30,equal_weight,Consumer Staples,0.0909090909090908
2025-09-30,equal_weight,Energy,0.0909090909090908
2025-09-30,equal_weight,Financials,0.0909090909090908
2025-09-30,equal_weight,Health Care,0.0909090909090908
2025-09-30,equal_weight,Industrials,0.0909090909090908
2025-09-30,equal_weight,Information Technology,0.0909090909090908
2025-09-30,equal_weight,Materials,0.0909090909090908
2025-09-30,equal_weight,Real Estate,0.0909090909090908
2025-09-30,equal_weight,Utilities,0.0909090909090908
2025-09-30,ewma,Communication Services,0.11124100106746329
2025-09-30,ewma,Consumer Discretionary,0.027549591994674605
2025-09-30,ewma,Consumer Staples,0.2326820782381907
2025-09-30,ewma,Energy,0.13884504710439
2025-09-30,ewma,Financials,0.002468789241513001
2025-09-30,ewma,Health Care,0.0749577121611409
2025-09-30,ewma,Industrials,0.1109847947762197
2025-09-30,ewma,Information Technology,0.12098579852652441
2025-09-30,ewma,Materials,0.0288365065995399
2025-09-30,ewma,Real Estate,0.008119687759328602
2025-09-30,ewma,Utilities,0.143328992531014
2025-09-30,ledoit_wolf,Communication Services,0.0689960857134091
2025-09-30,ledoit_wolf,Consumer Discretionary,0.049316947669955896
2025-09-30,ledoit_wolf,Consumer Staples,0.2499999999999999
2025-09-30,ledoit_wolf,Energy,0.1231157297429136
2025-09-30,ledoit_wolf,Financials,0.011454237188062003
2025-09-30,ledoit_wolf,Health Care,0.18490884314236788
2025-09-30,ledoit_wolf,Industrials,0.0092547364431077
2025-09-30,ledoit_wolf,Information Technology,0.1368494462821012
2025-09-30,ledoit_wolf,Materials,0.0
2025-09-30,ledoit_wolf,Real Estate,0.0189700773731336
2025-09-30,ledoit_wolf,Utilities,0.1471338964449487
2025-09-30,sample,Communication Services,0.0647900409678212
2025-09-30,sample,Consumer Discretionary,0.046587916423098
2025-09-30,sample,Consumer Staples,0.25
2025-09-30,sample,Energy,0.1289622534728974
2025-09-30,sample,Financials,0.0035745094687889057
2025-09-30,sample,Health Care,0.1939170606506682
2025-09-30,sample,Industrials,0.0021194725515306
2025-09-30,sample,Information Technology,0.15
2025-09-30,sample,Materials,2.677728710697508e-18
2025-09-30,sample,Real Estate,0.0100487464651953
2025-09-30,sample,Utilities,0.15
2025-10-31,equal_weight,Communication Services,0.0909090909090908
2025-10-31,equal_weight,Consumer Discretionary,0.0909090909090908
2025-10-31,equal_weight,Consumer Staples,0.0909090909090908
2025-10-31,equal_weight,Energy,0.0909090909090908
2025-10-31,equal_weight,Financials,0.0909090909090908
2025-10-31,equal_weight,Health Care,0.0909090909090908
2025-10-31,equal_weight,Industrials,0.0909090909090908
2025-10-31,equal_weight,Information Technology,0.0909090909090908
2025-10-31,equal_weight,Materials,0.0909090909090908
